ID,Abundance,Type2
pfs,0.388888888889,acyl-CoA synth
sjj,0.0555555555556,acyl-CoA synth
dpt,0.416666666667,acyl-CoA synth
rme,0.5,acyl-CoA synth
ebd,0.333333333333,acyl-CoA synth
afl,0.5,acyl-CoA synth
mpa,0.666666666667,acyl-CoA synth
rde,0.615384615385,acyl-CoA synth
abc,0.666666666667,acyl-CoA synth
bpe,0.416666666667,acyl-CoA synth
rty,0.230769230769,acyl-CoA synth
soz,0.0555555555556,acyl-CoA synth
bfa,0.333333333333,acyl-CoA synth
rty,0.0555555555556,acyl-CoA synth
syw,0.416666666667,acyl-CoA synth
ank,0.416666666667,acyl-CoA synth
ank,0.5,acyl-CoA synth
jan,0.222222222222,acyl-CoA synth
eic,0.416666666667,acyl-CoA synth
hfe,0.333333333333,acyl-CoA synth
cbg,0.666666666667,acyl-CoA synth
sse,0.5,acyl-CoA synth
bli,0.538461538462,acyl-CoA synth
mea,0.333333333333,acyl-CoA synth
tin,0.538461538462,acyl-CoA synth
avn,0.5,acyl-CoA synth
sad,0.666666666667,acyl-CoA synth
srm,0.666666666667,acyl-CoA synth
srm,0.538461538462,acyl-CoA synth
din,0.416666666667,acyl-CoA synth
aeh,0.333333333333,acyl-CoA synth
pol,0.416666666667,acyl-CoA synth
afe,0.5,acyl-CoA synth
afe,0.5,acyl-CoA synth
mbo,0.333333333333,acyl-CoA synth
dda,0.5,acyl-CoA synth
spx,0.416666666667,acyl-CoA synth
mtb,0.166666666667,acyl-CoA synth
bba,0.230769230769,acyl-CoA synth
bcy,0.222222222222,acyl-CoA synth
bba,0.666666666667,acyl-CoA synth
mlo,0.5,acyl-CoA synth
cbt,0.416666666667,acyl-CoA synth
eam,0.615384615385,acyl-CoA synth
lde,0.538461538462,acyl-CoA synth
mpa,0.166666666667,acyl-CoA synth
sas,0.111111111111,acyl-CoA synth
nar,0.222222222222,acyl-CoA synth
rde,0.5,acyl-CoA synth
bbi,0.0769230769231,acyl-CoA synth
pla,0.615384615385,acyl-CoA synth
pla,0.5,acyl-CoA synth
bav,0.5,acyl-CoA synth
aca,0.538461538462,acyl-CoA synth
esa,0.333333333333,acyl-CoA synth
bam,0.222222222222,acyl-CoA synth
kvu,0.5,acyl-CoA synth
lpl,0.5,acyl-CoA synth
csy,0.0769230769231,acyl-CoA synth
jan,0.615384615385,acyl-CoA synth
lbl,0.25,acyl-CoA synth
eic,0.615384615385,acyl-CoA synth
sag,0.0555555555556,acyl-CoA synth
hso,0.5,acyl-CoA synth
eic,0.666666666667,acyl-CoA synth
pct,0.333333333333,acyl-CoA synth
sbm,0.277777777778,acyl-CoA synth
nri,0.5,acyl-CoA synth
cat,0.5,acyl-CoA synth
bpy,0.666666666667,acyl-CoA synth
ant,0.111111111111,acyl-CoA synth
kpu,0.277777777778,acyl-CoA synth
rop,0.333333333333,acyl-CoA synth
snt,0.0555555555556,acyl-CoA synth
cpb,0.5,acyl-CoA synth
pol,0.5,acyl-CoA synth
dda,0.615384615385,acyl-CoA synth
gur,0.166666666667,acyl-CoA synth
sjp,0.538461538462,acyl-CoA synth
eoi,0.5,acyl-CoA synth
dsy,0.333333333333,acyl-CoA synth
rer,0.277777777778,acyl-CoA synth
abc,0.615384615385,acyl-CoA synth
blb,0.5,acyl-CoA synth
tbd,0.615384615385,acyl-CoA synth
lde,0.416666666667,acyl-CoA synth
deb,0.5,acyl-CoA synth
eat,0.538461538462,acyl-CoA synth
pap,0.5,acyl-CoA synth
hne,0.166666666667,acyl-CoA synth
fta,0.538461538462,acyl-CoA synth
mdi,0.5,acyl-CoA synth
ttu,0.615384615385,acyl-CoA synth
soz,0.416666666667,acyl-CoA synth
eba,0.333333333333,acyl-CoA synth
cni,0.5,acyl-CoA synth
lil,0.666666666667,acyl-CoA synth
mdi,0.5,acyl-CoA synth
lil,0.166666666667,acyl-CoA synth
fba,0.538461538462,acyl-CoA synth
elm,0.538461538462,acyl-CoA synth
rah,0.5,acyl-CoA synth
ava,0.416666666667,acyl-CoA synth
xne,0.5,acyl-CoA synth
btk,0.416666666667,acyl-CoA synth
sgo,0.333333333333,acyl-CoA synth
cyb,0.538461538462,acyl-CoA synth
srm,0.333333333333,acyl-CoA synth
din,0.333333333333,acyl-CoA synth
nri,0.230769230769,acyl-CoA synth
spr,0.333333333333,acyl-CoA synth
llo,0.666666666667,acyl-CoA synth
hdn,0.615384615385,acyl-CoA synth
bsn,0.538461538462,acyl-CoA synth
pol,0.666666666667,acyl-CoA synth
ldb,0.416666666667,acyl-CoA synth
rpb,0.615384615385,acyl-CoA synth
cpc,0.416666666667,acyl-CoA synth
abc,0.5,acyl-CoA synth
syn,0.333333333333,acyl-CoA synth
dsy,0.5,acyl-CoA synth
bcy,0.5,acyl-CoA synth
cps,0.5,acyl-CoA synth
cbe,0.0555555555556,acyl-CoA synth
spx,0.0555555555556,acyl-CoA synth
enc,0.333333333333,acyl-CoA synth
lca,0.666666666667,acyl-CoA synth
bpn,0.538461538462,acyl-CoA synth
bll,0.5,acyl-CoA synth
pst,0.277777777778,acyl-CoA synth
smh,0.0833333333333,acyl-CoA synth
rde,0.5,acyl-CoA synth
acr,0.277777777778,acyl-CoA synth
asu,0.5,acyl-CoA synth
ckp,0.666666666667,acyl-CoA synth
mdi,0.111111111111,acyl-CoA synth
vpe,0.5,acyl-CoA synth
spb,0.666666666667,acyl-CoA synth
brh,0.166666666667,acyl-CoA synth
bpo,0.333333333333,acyl-CoA synth
bpo,0.230769230769,acyl-CoA synth
buc,0.0769230769231,acyl-CoA synth
ecx,0.333333333333,acyl-CoA synth
mea,0.166666666667,acyl-CoA synth
bli,0.5,acyl-CoA synth
psp,0.666666666667,acyl-CoA synth
bmc,0.5,acyl-CoA synth
avn,0.277777777778,acyl-CoA synth
sad,0.416666666667,acyl-CoA synth
csc,0.230769230769,acyl-CoA synth
aeh,0.277777777778,acyl-CoA synth
ana,0.416666666667,acyl-CoA synth
sad,0.111111111111,acyl-CoA synth
avn,0.416666666667,acyl-CoA synth
ccr,0.5,acyl-CoA synth
eoi,0.615384615385,acyl-CoA synth
glo,0.538461538462,acyl-CoA synth
