ID,Phyla
sad,Firmicutes
snm,Firmicutes
mta,Firmicutes
csc,Firmicutes
lcz,Firmicutes
bah,Firmicutes
ral,Firmicutes
bcl,Firmicutes
soz,Firmicutes
snt,Firmicutes
ljo,Firmicutes
tjr,Firmicutes
sag,Firmicutes
swo,Firmicutes
seq,Firmicutes
cpr,Firmicutes
cpe,Firmicutes
sah,Firmicutes
cow,Firmicutes
lai,Firmicutes
gwc,Firmicutes
spb,Firmicutes
spg,Firmicutes
bha,Firmicutes
eat,Firmicutes
sgy,Firmicutes
wvi,Bacteroidetes
mtt,Bacteroidetes
osp,Bacteroidetes
pgi,Bacteroidetes
aas,Bacteroidetes
zpr,Bacteroidetes
srm,Bacteroidetes
psn,Bacteroidetes
pgn,Bacteroidetes
sms,Bacteroidetes
bhl,Bacteroidetes
aps,Bacteroidetes
pdi,Bacteroidetes
cpi,Bacteroidetes
smh,Bacteroidetes
cat,Bacteroidetes
fjo,Bacteroidetes
bsa,Bacteroidetes
sru,Bacteroidetes
fba,Bacteroidetes
rmr,Bacteroidetes
fps,Bacteroidetes
pru,Bacteroidetes
cao,Bacteroidetes
ppn,Bacteroidetes
bfr,Bacteroidetes
coc,Bacteroidetes
ran,Bacteroidetes
pmz,Bacteroidetes
bvu,Bacteroidetes
bth,Bacteroidetes
bfs,Bacteroidetes
cly,Bacteroidetes
chu,Bacteroidetes
deh,Chloroflexi
dly,Chloroflexi
det,Chloroflexi
chl,Chloroflexi
sti,Chloroflexi
rca,Chloroflexi
atm,Chloroflexi
rrs,Chloroflexi
deb,Chloroflexi
deg,Chloroflexi
tpr,Actinobacteria
rer,Actinobacteria
mil,Actinobacteria
ckp,Actinobacteria
scb,Actinobacteria
blc,Actinobacteria
cmi,Actinobacteria
tfu,Actinobacteria
rha,Actinobacteria
fal,Actinobacteria
blm,Actinobacteria
ami,Actinobacteria
nda,Actinobacteria
cfl,Actinobacteria
cgt,Actinobacteria
twh,Actinobacteria
mcu,Actinobacteria
car,Actinobacteria
mra,Actinobacteria
srt,Actinobacteria
msp,Actinobacteria
cgb,Actinobacteria
stp,Actinobacteria
bln,Actinobacteria
req,Actinobacteria
tws,Actinobacteria
blt,Actinobacteria
ica,Actinobacteria
cdi,Actinobacteria
gbr,Actinobacteria
mgi,Actinobacteria
rdn,Actinobacteria
tcu,Actinobacteria
blb,Actinobacteria
mtb,Actinobacteria
pfr,Actinobacteria
bcv,Actinobacteria
fri,Actinobacteria
rxy,Actinobacteria
mpa,Actinobacteria
mts,Actinobacteria
ahe,Actinobacteria
blj,Actinobacteria
ccu,Actinobacteria
ols,Actinobacteria
bfa,Actinobacteria
rop,Actinobacteria
amd,Actinobacteria
mmc,Actinobacteria
mle,Actinobacteria
sco,Actinobacteria
nfa,Actinobacteria
cef,Actinobacteria
mtf,Actinobacteria
apn,Actinobacteria
cpu,Actinobacteria
mtu,Actinobacteria
pac,Actinobacteria
bbp,Actinobacteria
cgl,Actinobacteria
kra,Actinobacteria
mal,Actinobacteria
mbo,Actinobacteria
blo,Actinobacteria
tbi,Actinobacteria
bbi,Actinobacteria
blf,Actinobacteria
afo,Actinobacteria
syx,Actinobacteria
cjk,Actinobacteria
mlu,Actinobacteria
sma,Actinobacteria
krh,Actinobacteria
sna,Actinobacteria
pak,Actinobacteria
fra,Actinobacteria
ske,Actinobacteria
lxx,Actinobacteria
mtc,Actinobacteria
mmi,Actinobacteria
mbt,Actinobacteria
bll,Actinobacteria
abn,Spirochaetes
abn,Proteobacteria
hin,Spirochaetes
hin,Proteobacteria
bxe,Spirochaetes
bxe,Proteobacteria
bgl,Spirochaetes
bgl,Proteobacteria
nwi,Spirochaetes
nwi,Proteobacteria
hdu,Spirochaetes
hdu,Proteobacteria
gem,Spirochaetes
gem,Proteobacteria
cla,Spirochaetes
cla,Proteobacteria
pat,Spirochaetes
pat,Proteobacteria
brm,Spirochaetes
brm,Proteobacteria
ecl,Spirochaetes
ecl,Proteobacteria
tdn,Spirochaetes
tdn,Proteobacteria
axy,Spirochaetes
axy,Proteobacteria
pcr,Spirochaetes
pcr,Proteobacteria
hit,Spirochaetes
hit,Proteobacteria
dno,Spirochaetes
dno,Proteobacteria
ecy,Spirochaetes
ecy,Proteobacteria
rec,Spirochaetes
rec,Proteobacteria
hci,Spirochaetes
hci,Proteobacteria
vex,Spirochaetes
vex,Proteobacteria
sbu,Spirochaetes
sbu,Proteobacteria
zmo,Spirochaetes
zmo,Proteobacteria
mea,Spirochaetes
mea,Proteobacteria
ypp,Spirochaetes
ypp,Proteobacteria
spt,Spirochaetes
spt,Proteobacteria
sme,Spirochaetes
sme,Proteobacteria
vcm,Spirochaetes
vcm,Proteobacteria
ret,Spirochaetes
ret,Proteobacteria
crp,Spirochaetes
crp,Proteobacteria
ngk,Spirochaetes
ngk,Proteobacteria
abu,Spirochaetes
abu,Proteobacteria
afe,Spirochaetes
afe,Proteobacteria
cti,Spirochaetes
cti,Proteobacteria
kpn,Spirochaetes
kpn,Proteobacteria
erw,Spirochaetes
erw,Proteobacteria
hfe,Spirochaetes
hfe,Proteobacteria
asa,Spirochaetes
asa,Proteobacteria
pub,Spirochaetes
pub,Proteobacteria
bme,Spirochaetes
bme,Proteobacteria
mei,Spirochaetes
mei,Proteobacteria
hoh,Spirochaetes
hoh,Proteobacteria
sbm,Spirochaetes
sbm,Proteobacteria
meh,Spirochaetes
meh,Proteobacteria
ots,Spirochaetes
ots,Proteobacteria
sse,Spirochaetes
sse,Proteobacteria
bqu,Spirochaetes
bqu,Proteobacteria
cha,Spirochaetes
cha,Proteobacteria
xca,Spirochaetes
xca,Proteobacteria
bpe,Spirochaetes
bpe,Proteobacteria
nsa,Spirochaetes
nsa,Proteobacteria
bdu,Spirochaetes
bdu,Proteobacteria
sjp,Spirochaetes
sjp,Proteobacteria
xop,Spirochaetes
xop,Proteobacteria
gox,Spirochaetes
gox,Proteobacteria
ebd,Spirochaetes
ebd,Proteobacteria
tcx,Spirochaetes
tcx,Proteobacteria
rbo,Spirochaetes
rbo,Proteobacteria
fth,Spirochaetes
fth,Proteobacteria
gbe,Spirochaetes
gbe,Proteobacteria
hil,Spirochaetes
hil,Proteobacteria
ngo,Spirochaetes
ngo,Proteobacteria
pfl,Spirochaetes
pfl,Proteobacteria
vpe,Spirochaetes
vpe,Proteobacteria
ttu,Spirochaetes
ttu,Proteobacteria
bra,Spirochaetes
bra,Proteobacteria
tau,Spirochaetes
tau,Proteobacteria
wsu,Spirochaetes
wsu,Proteobacteria
kpe,Spirochaetes
kpe,Proteobacteria
bhe,Spirochaetes
bhe,Proteobacteria
mmw,Spirochaetes
mmw,Proteobacteria
rah,Spirochaetes
rah,Proteobacteria
ank,Spirochaetes
ank,Proteobacteria
mag,Spirochaetes
mag,Proteobacteria
tbd,Spirochaetes
tbd,Proteobacteria
lbf,Spirochaetes
lbf,Proteobacteria
brh,Spirochaetes
brh,Proteobacteria
vco,Spirochaetes
vco,Proteobacteria
zmn,Spirochaetes
zmn,Proteobacteria
bre,Spirochaetes
bre,Proteobacteria
vvy,Spirochaetes
vvy,Proteobacteria
pmy,Spirochaetes
pmy,Proteobacteria
wri,Spirochaetes
wri,Proteobacteria
yps,Spirochaetes
yps,Proteobacteria
ctt,Spirochaetes
ctt,Proteobacteria
ebw,Spirochaetes
ebw,Proteobacteria
lic,Spirochaetes
lic,Proteobacteria
oca,Spirochaetes
oca,Proteobacteria
pae,Spirochaetes
pae,Proteobacteria
reu,Spirochaetes
reu,Proteobacteria
fta,Spirochaetes
fta,Proteobacteria
bhr,Spirochaetes
bhr,Proteobacteria
abc,Spirochaetes
abc,Proteobacteria
ftf,Spirochaetes
ftf,Proteobacteria
msu,Spirochaetes
msu,Proteobacteria
ype,Spirochaetes
ype,Proteobacteria
nla,Spirochaetes
nla,Proteobacteria
ypi,Spirochaetes
ypi,Proteobacteria
hhe,Spirochaetes
hhe,Proteobacteria
ftm,Spirochaetes
ftm,Proteobacteria
lil,Spirochaetes
lil,Proteobacteria
abo,Spirochaetes
abo,Proteobacteria
sfv,Spirochaetes
sfv,Proteobacteria
rle,Spirochaetes
rle,Proteobacteria
ece,Spirochaetes
ece,Proteobacteria
sdy,Spirochaetes
sdy,Proteobacteria
dia,Spirochaetes
dia,Proteobacteria
net,Spirochaetes
net,Proteobacteria
eru,Spirochaetes
eru,Proteobacteria
rlg,Spirochaetes
rlg,Proteobacteria
pao,Spirochaetes
pao,Proteobacteria
nit,Spirochaetes
nit,Proteobacteria
gsu,Spirochaetes
gsu,Proteobacteria
hdn,Spirochaetes
hdn,Proteobacteria
llo,Spirochaetes
llo,Proteobacteria
eci,Spirochaetes
eci,Proteobacteria
ech,Spirochaetes
ech,Proteobacteria
pmr,Spirochaetes
pmr,Proteobacteria
cko,Spirochaetes
cko,Proteobacteria
ftu,Spirochaetes
ftu,Proteobacteria
ent,Spirochaetes
ent,Proteobacteria
mep,Spirochaetes
mep,Proteobacteria
mes,Spirochaetes
mes,Proteobacteria
mmr,Spirochaetes
mmr,Proteobacteria
see,Spirochaetes
see,Proteobacteria
afw,Spirochaetes
afw,Proteobacteria
lpf,Spirochaetes
lpf,Proteobacteria
ecx,Spirochaetes
ecx,Proteobacteria
sil,Spirochaetes
sil,Proteobacteria
lpa,Spirochaetes
lpa,Proteobacteria
vha,Spirochaetes
vha,Proteobacteria
rde,Spirochaetes
rde,Proteobacteria
dba,Spirochaetes
dba,Proteobacteria
lip,Spirochaetes
lip,Proteobacteria
asu,Spirochaetes
asu,Proteobacteria
rpc,Spirochaetes
rpc,Proteobacteria
tpa,Spirochaetes
tpa,Proteobacteria
xft,Spirochaetes
xft,Proteobacteria
nha,Spirochaetes
nha,Proteobacteria
dat,Spirochaetes
dat,Proteobacteria
hse,Spirochaetes
hse,Proteobacteria
smt,Spirochaetes
smt,Proteobacteria
bbt,Spirochaetes
bbt,Proteobacteria
bbr,Spirochaetes
bbr,Proteobacteria
dps,Spirochaetes
dps,Proteobacteria
xcb,Spirochaetes
xcb,Proteobacteria
rru,Spirochaetes
rru,Proteobacteria
vfm,Spirochaetes
vfm,Proteobacteria
neu,Spirochaetes
neu,Proteobacteria
vfi,Spirochaetes
vfi,Proteobacteria
cse,Spirochaetes
cse,Proteobacteria
lhk,Spirochaetes
lhk,Proteobacteria
psm,Spirochaetes
psm,Proteobacteria
bmj,Spirochaetes
bmj,Proteobacteria
pmu,Spirochaetes
pmu,Proteobacteria
sgl,Spirochaetes
sgl,Proteobacteria
nwa,Spirochaetes
nwa,Proteobacteria
spe,Spirochaetes
spe,Proteobacteria
apb,Spirochaetes
apb,Proteobacteria
ssm,Spirochaetes
ssm,Proteobacteria
rsp,Spirochaetes
rsp,Proteobacteria
apa,Spirochaetes
apa,Proteobacteria
ssn,Spirochaetes
ssn,Proteobacteria
seg,Spirochaetes
seg,Proteobacteria
hif,Spirochaetes
hif,Proteobacteria
nse,Spirochaetes
nse,Proteobacteria
ott,Spirochaetes
ott,Proteobacteria
stm,Spirochaetes
stm,Proteobacteria
bpa,Spirochaetes
bpa,Proteobacteria
ant,Spirochaetes
ant,Proteobacteria
sdn,Spirochaetes
sdn,Proteobacteria
sed,Spirochaetes
sed,Proteobacteria
rfr,Spirochaetes
rfr,Proteobacteria
teq,Spirochaetes
teq,Proteobacteria
mpo,Spirochaetes
mpo,Proteobacteria
aap,Spirochaetes
aap,Proteobacteria
bba,Spirochaetes
bba,Proteobacteria
sty,Spirochaetes
sty,Proteobacteria
bpn,Spirochaetes
bpn,Proteobacteria
mmb,Spirochaetes
mmb,Proteobacteria
gbm,Spirochaetes
gbm,Proteobacteria
bpr,Spirochaetes
bpr,Proteobacteria
rbe,Spirochaetes
rbe,Proteobacteria
dar,Spirochaetes
dar,Proteobacteria
pfo,Spirochaetes
pfo,Proteobacteria
sal,Spirochaetes
sal,Proteobacteria
pfs,Spirochaetes
pfs,Proteobacteria
kpu,Spirochaetes
kpu,Proteobacteria
rsl,Spirochaetes
rsl,Proteobacteria
rme,Spirochaetes
rme,Proteobacteria
aeh,Spirochaetes
aeh,Proteobacteria
rak,Spirochaetes
rak,Proteobacteria
bam,Spirochaetes
bam,Proteobacteria
avi,Spirochaetes
